,,종목코드,종목명,현재가,전일대비기호,전일대비,등락률,이전거래량,현재거래량,급증량,급증률,종목분류,매도잔량,매수잔량,체결강도,횟수,거래량,전일비,거래회전율,거래금액,거래량(장중),전일비(장중),거래회전율(장중),거래금액(장중),거래량(장후),전일비(장후),거래회전율(장후),거래금액(장후),거래량(장전),전일비(장전),거래회전율(장전),거래금액(장전),기준가,기준대비,급등률,예상체결가,예상체결량,매도호가,매수호가,현재순위,전일순위,전일거래량,거래대금
거래량 급증 종목,68,036620,감성코퍼레이션,2980,3,0,0.00,328830,409968,+81138,+24.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,69,011390,부산산업,-65300,5,-8500,-11.52,119925,200997,+81072,+67.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,70,001570,금양,+28650,2,+1150,+4.18,581295,660330,+79035,+13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,71,008040,사조동아원,+1010,2,+15,+1.51,132668,210575,+77907,+58.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,72,007680,대원,+4485,2,+145,+3.34,3564,77633,+74069,+2078.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,73,260930,씨티케이,+5990,2,+450,+8.12,92228,166259,+74031,+80.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,74,358570,지아이이노베이션,+11740,2,+740,+6.73,339123,410116,+70993,+20.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,75,065170,비엘팜텍,-205,5,-2,-0.97,271738,339117,+67379,+24.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,76,011170,롯데케미칼,+67900,2,+1600,+2.41,131277,196428,+65151,+49.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,77,206640,바디텍메드,+17060,2,+800,+4.92,105121,166625,+61504,+58.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,78,487240,KODEX AI전력핵심설비,-8590,5,-205,-2.33,573806,631164,+57358,+10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,79,083660,CSA 코스믹,-1024,5,-39,-3.67,152252,208846,+56594,+37.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,80,267440,RISE 미국장기국채선물(H),+8665,2,+40,+0.46,3529,60071,+56542,+1602.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,81,481430,RISE 국고채10년액티브,+106680,2,+475,+0.45,15450,71301,+55851,+361.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,82,073240,금호타이어,+4835,2,+255,+5.57,569961,624981,+55020,+9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,83,187420,제노포커스,+4080,2,+220,+5.70,102709,157377,+54668,+53.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,84,452250,ACE 미국30년국채선물레버리지(합성 H),+6325,2,+60,+0.96,86436,138254,+51818,+59.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,85,297570,알로이스,+1011,2,+17,+1.71,17420,67441,+50021,+287.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,86,495750,HANARO 코리아밸류업,+9475,2,+20,+0.21,101,50000,+49899,+49404.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,87,950220,네오이뮨텍,+1273,2,+51,+4.17,273286,322078,+48792,+17.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,88,095720,웅진씽크빅,+1682,2,+6,+0.36,54608,99299,+44691,+81.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
